,USDC-USDT,DAI,USDC,DAI-USDC,DAI-USDT,USDT,ETH
2021-09-15,276429.8591633816,116.31786011447531,166.16391897280386,137956.99092636057,46048.17557449906,27.747034816322763,6047.822671406353
2021-09-16,276663.11955825734,116.45395165598524,166.27231315728997,138086.15903521518,46097.33292179815,27.771660080916753,5984.9748961967425
2021-09-17,276771.68049650674,116.43222585337445,166.32459976758375,138096.65681090835,46100.9145360543,27.77983580458176,5705.435594171039
2021-09-18,276627.21517101896,116.39615559354742,166.2687717783887,138054.6407863238,46074.78643272397,27.75409893800962,5751.369089685658
2021-09-19,276810.71865002485,116.38677224031863,166.3606681868835,138088.83582465412,46089.50978821749,27.77191918608567,5565.820498278133
2021-09-20,276831.4360004167,116.27884827997364,166.36127739555286,138028.2732271015,46066.41508469867,27.766689104678232,5034.928598335849
2021-09-21,276877.8758492275,116.4314163987336,166.37954750401002,138128.1613558677,46100.61696730815,27.76830376060868,4605.946230398985
2021-09-22,276823.6547390149,116.53707719456185,166.2471663308441,138137.52089192215,46129.06227169692,27.77217991164155,5169.015898334165
2021-09-23,276905.7825527305,116.3761207503401,166.21209014319294,138030.02991127217,46112.04187797088,27.787113505368428,5304.420836054505
2021-09-24,276929.28709258477,116.43339155465365,166.10055034479336,138022.39078850564,46135.901604857034,27.797799798086913,4994.709745758643
2021-09-25,277003.56465698534,116.55598739536003,166.1407298199175,138125.1758951068,46164.27797651157,27.800564119314103,4950.6045414418895
2021-09-26,276269.95073287346,116.56840938962863,166.0808698089591,138109.1797831483,46051.86017444269,27.659110991781375,5123.782197103732
2021-09-27,277066.7262516386,116.36863795864902,166.22749679718993,138053.1700043696,46122.815249172476,27.790512864405304,5072.116620491596
2021-09-28,277023.5877009739,116.49601203293076,166.1960795774219,138116.97952768998,46154.14356581132,27.78424572365954,4795.914276207655
2021-09-29,276919.07226886175,116.62958756380537,166.22518300005007,138210.73823412127,46156.106209924525,27.75281065483977,4785.678353483412
2021-09-30,277026.0929927764,116.33506991251102,166.2027117553102,138028.09988680968,46117.471188331154,27.773577587812003,5079.754781347878
2021-10-01,277201.14357048256,116.3471718870845,166.25481612526863,138059.55602284695,46138.630855308205,27.793306527815844,5541.473987292334
2021-10-02,277254.0575128805,116.44891016976396,166.2464003239308,138122.33660137517,46166.8434865195,27.798922388743804,5800.512574905952
2021-10-03,277158.18405957834,116.34240292876554,166.26872133746986,138072.2859411682,46124.99548934677,27.771647224154755,5756.652543876519
2021-10-04,277319.26677603886,116.51436904127524,166.2381811099763,138165.73415134157,46182.5930956649,27.79723159796698,5689.164853935179
2021-10-05,277356.4163167296,116.36163022621248,166.2365273809742,138078.76780162906,46154.98547872579,27.797744063850967,5930.034106248188
2021-10-06,277212.233521859,116.53695877698517,166.15935588845278,138153.72021352133,46175.365482479654,27.776264817262522,6047.452045766151
2021-10-07,277256.46851635765,116.48439912348842,166.33762000044908,138198.81083305442,46143.47789034751,27.74776666163251,6078.441864084761
2021-10-08,277264.3857982836,116.5739605505578,166.19202502608815,138193.14752680354,46181.31673453108,27.769280660921034,6040.909258274642
2021-10-09,277376.1115810386,116.56846285598779,166.112975973956,138158.5408223456,46199.55831214695,27.788937232170767,6041.814533607609
2021-10-10,277442.90693006536,116.49489478281431,166.24436375905384,138175.94519197533,46173.833736637374,27.773111016298888,5833.126367926528
2021-10-11,277425.5902161802,116.43895029219388,166.23160218712619,138143.32146677864,46151.702008022934,27.75703460320861,5938.773902337086
2021-10-12,277293.4694442499,116.57566562224191,166.1820579577387,138206.0725133188,46157.70455087729,27.72906383284475,5895.213479075506
2021-10-13,277455.53087081324,116.51644694602413,166.06163527458585,138122.84714362767,46179.566419307936,27.76717487697434,6062.941146356496
2021-10-14,277582.7069485368,116.40071047703485,166.10828337113963,138081.3778295898,46164.746181316135,27.77445891071307,6371.331064595492
2021-10-15,277898.3694855859,116.2814601421054,166.24002701213212,138074.2115112045,46170.22274213712,27.802560717856803,6499.859910300081
2021-10-16,277994.7247420875,116.23274436104485,166.39189995480757,138111.78635962048,46151.624894763925,27.789613674328915,6449.862160088412
2021-10-17,277821.29614645755,116.39996228947655,166.25037655354066,138155.65555648107,46173.13211107995,27.772667991394144,6443.495779449268
2021-10-18,281875.91453843703,4.999587139824909,4.964819878342378,140145.43172092328,46825.08366145101,9.447944033174592,130.82848675494185
2021-10-19,281673.6261410335,5.003808203322957,4.964547639748567,140205.76513402417,46811.255317624426,9.431844049918137,135.44402054345775
2021-10-20,281983.8689164999,4.996254393994727,4.963249670810502,140087.5630267372,46840.09544467746,9.452418928450285,144.39935327911434
2021-10-21,281724.19699206075,5.00519271390321,4.959139344823472,140161.05618931312,46846.80212121901,9.437288025894246,142.65585038439687
2021-10-22,281912.13204836455,5.001344167318835,4.961276752429159,140141.74922148028,46843.143369095465,9.442209720993441,138.87019419580653
2021-10-23,282035.1207235199,5.010530329219213,4.961855580560463,140279.6173550328,46903.710859059865,9.447568822033125,144.13601734468327
2021-10-24,282064.01025027316,5.001824205868732,4.966817279699412,140230.9874802231,46841.861067136255,9.438309879102867,142.72409358627488
2021-10-25,282748.6472544379,5.009429778906994,4.954863481477569,140170.50975618625,47044.91685523907,9.504072173474244,147.40680087406926
2021-10-26,284737.10552525136,5.005987055040824,4.969831908933135,140338.76216253865,47287.15447370176,9.605605704956158,143.75914501852245
2021-10-27,282647.34633267595,4.987270568992032,4.974798765059407,140149.4327076214,46828.149201295746,9.453861318574734,139.06713782937126
2021-10-28,282091.69131511444,5.011879251187889,4.962040696227784,140316.210110573,46906.32636331969,9.438188773710502,149.05404331930973
2021-10-29,282505.9244189116,5.00167548479982,4.969942682781541,140288.40925772843,46884.56743781281,9.447184369081409,154.56879204927125
2021-10-30,282424.9936434228,5.010013044642184,4.969632692493873,140403.91205745417,46907.58464921316,9.43953934199622,149.9888493032114
2021-10-31,282557.3691090499,4.995925845569465,4.964386698671811,140135.72195190398,46883.49936273439,9.454862984833287,150.6455210410328
2021-11-01,282643.1802040345,5.009102189412982,4.967321866472634,140363.70508118052,46936.89932002638,9.44883509089477,151.24545457126126
2021-11-02,282296.95598665817,4.98394085454409,4.960301623096136,139914.84030735467,46785.555204535034,9.434630331009602,159.25864054078377
2021-11-03,282790.989765686,4.990154277450441,4.969320722047869,140133.63202921397,46852.14506694928,9.447995890556097,160.67114134996294
2021-11-04,282815.42370286956,4.999904543087494,4.968289670868433,140258.1028446763,46903.33051324934,9.449372187370832,156.2884064398811
