,WETH-USDT,WBTC,DAI,USDC,DAI-WETH,USDC-WETH,WBTC-WETH,EQX,USDT,ETH
2021-09-26,26479.413170765012,0.3233695439816671,1.8687319915494172,1.907093293013646,72082.32495567002,70544.80583025565,8020.723931349072,0.0,0.9035135793752921,3353.760392203977
2021-09-27,26420.965802339302,0.3256468202609125,1.8655294149163142,1.908776998946493,71674.63059095347,70247.9675073423,8008.612465171241,0.0,0.9078059579808929,3319.942802420378
2021-09-28,25702.14020075217,0.31302083585819546,1.8675713747298748,1.9084162375344553,69757.66832694333,68337.00312817114,7635.430792632357,0.0,0.9076012353211756,3139.1551641368897
2021-09-29,25672.296338741962,0.31227185505467653,1.869712751361336,1.908750429799716,69741.18738815725,68302.91428912393,7618.456847982529,0.0,0.906574376158721,3132.4552633820076
2021-09-30,26472.766961414385,0.3305867602128173,1.8649912787090832,1.9084923943006342,71783.59000733442,70395.36542629826,8076.366569943625,0.0,0.9072527495868462,3324.942343845765
2021-10-01,27671.905972008197,0.360692677774819,1.8651852879364956,1.9090907045972911,74998.52772270146,73573.50164494179,8812.277591519962,0.0,0.9078972158968965,3627.159636784503
2021-10-02,28323.572103213068,0.3626819230571046,1.8668162751362345,1.9089940666262524,76780.93193718289,75300.95446584301,9041.368664891988,0.0,0.9080806638251328,3796.7127758078755
2021-10-03,28212.16840813113,0.3619739361099988,1.865108835791153,1.9092503770325175,76471.68231475202,75047.63400498776,8998.795435964605,0.0,0.9071896922536595,3768.0042887549916
2021-10-04,28071.65479210417,0.367271830544258,1.867865659681879,1.9088996860523517,76094.77153302872,74632.11020973281,9011.636079577962,0.0,0.9080254323888369,3723.8303694157685
2021-10-05,28673.435251725932,0.3880135755564003,1.8654170725256018,1.908880696415002,77648.99202103236,76222.25360935846,9457.098017975628,0.0,0.9080421726190375,3881.4908098934657
2021-10-06,28959.77118364608,0.41576939411374036,1.8682278003512323,1.9079945423626496,78491.88944175982,76993.23321072386,9887.280602467466,0.0,0.907340530727034,3958.3464645136287
2021-10-07,29039.993889666126,0.4055072886001519,1.8673852058055191,1.9100415348474808,78703.97751181014,77273.21170740391,9790.336128642268,0.0,0.9064096088833595,3978.63078208226
2021-10-08,28971.612777298138,0.4081896703808905,1.868820983344646,1.9083696794470386,78504.19544930843,77027.66513729122,9792.862889883538,0.0,0.9071123860083953,3954.063897320192
2021-10-09,28991.657772073966,0.41295605035797267,1.8687328486795465,1.9074619655284297,78517.97245029712,77034.55944014718,9850.996141791367,0.0,0.9077544883179515,3954.656443302623
2021-10-10,28488.89098031714,0.4129646368853453,1.8675534638649491,1.9089706809152904,77141.01522612457,75750.38596671939,9680.124144101352,0.0,0.9072375085439227,3818.060062453622
2021-10-11,28752.12781186555,0.4316084275696817,1.8666566063036185,1.9088241408095001,77844.2553376531,76460.95801137768,9986.559383373511,0.0,0.9067123558179718,3887.2114242426574
2021-10-12,28644.820594938854,0.42341084125996414,1.8688483176972437,1.90825522840146,77626.7109689819,76208.34520495676,9856.491182278449,0.0,0.9057986615616075,3858.6990447966873
2021-10-13,29083.500328482514,0.43395444865288374,1.867898970997526,1.9068724243998212,78715.22667925183,77291.31963378085,10120.656191692307,0.0,0.9070435983893127,3968.4848213118794
2021-10-14,29837.37371962062,0.4337929695677122,1.866043576012541,1.9074080807470688,80669.39961752776,79289.05572450806,10374.643222331892,0.0,0.9072815389144989,4170.340765487179
2021-10-15,30168.167791818687,0.463263456323436,1.864131849524614,1.9089208823985953,81464.62502899976,80169.04863670809,10830.279940449966,0.0,0.9081995136233352,2906.5512482666804
2021-10-16,30055.669351111592,0.45775397365432835,1.8633508768834168,1.910664827205121,81142.99268148176,79923.86061462361,10724.924747501896,0.0,0.9077765850034065,2884.193685904764
2021-10-17,30042.695502516865,0.4615205172611875,1.8660315816649022,1.909039725351602,81175.91722061604,79880.51621925863,10764.50574325006,0.0,0.9072230366754106,2881.346822764788
2021-10-18,29741.524000999645,145.1444963319473,1157.8608808665845,1160.638884586527,80327.61703936453,70807.59056959,10713.647670405715,0.0,435.2850243265171,2978.614913093143
2021-10-19,30249.636318231293,150.11757520581966,1158.8384424458422,1160.5752426608165,81783.73192687515,72068.11560660879,11087.723874678826,0.0,434.54326701097466,3083.698279226624
2021-10-20,31280.868702389304,154.17857715345625,1157.0890459300754,1160.271813078794,84404.16065820747,74429.60101225354,11603.782204820027,0.0,435.49119139229344,3287.5872662490187
2021-10-21,31091.992492121346,146.37914319030222,1159.1590830497935,1159.3109314585597,84004.3463297266,74007.48406315906,11240.144445744208,0.0,434.7940814957846,3247.892366062991
2021-10-22,30699.12416815378,142.02282356039746,1158.2677931465241,1159.8105988060486,82865.44775918372,73066.88605762266,10924.268354483427,0.0,435.02083349214047,3161.703094453514
2021-10-23,31297.68008638285,143.6067150330798,1160.3952283151266,1159.945912967115,84515.11946273135,74465.43739747429,11191.7112834457,10326.019510250797,435.26773762474704,3281.5918109708505
2021-10-24,31144.835518674437,142.888482749765,1158.3789658979315,1161.1058223083187,84046.0532376231,74163.46444265085,11109.343179750489,10081.323843444849,434.8411602461678,3249.446081342231
2021-10-25,31778.80155274197,146.94743370315533,1160.1403504385528,1158.3113517384409,85491.01564832381,75302.17936361743,11449.884289891737,10107.265393875072,437.8709561260651,3356.0588084862866
2021-10-26,31583.44625617896,143.2351586785875,1159.3430455458124,1161.8105600424174,84414.9729226506,74510.91154478636,11164.985604688503,9822.250931975048,442.54880196912643,3273.011435558136
2021-10-27,30852.229068764416,137.36909055123851,1155.008470226471,1162.97167494599,82912.1790106965,73368.79745088301,10754.372054777845,9034.315917972617,435.5576450903895,3166.1869745206545
2021-10-28,34272.49452564888,5.0488699937030015,46.83274697867837,54.8994161037816,92296.36917968455,82091.23965196492,12131.992820077283,0.0,22.87921267576311,49.085946808562454
2021-10-29,34964.904620683876,5.18740342376641,46.737399428282245,54.98684272408139,93928.5945719279,83715.18807962777,12523.923038256458,0.0,22.901018993116008,50.90204422392463
2021-10-30,34472.976146265006,5.1066843213249555,46.81530849411308,54.98341302915693,92641.2517875614,82518.7107359677,12241.114212243896,0.0,22.88248660254959,49.393793786613394
2021-10-31,34612.76166877604,5.095033923619263,46.683672794858246,54.92537199012753,92732.25800473885,82701.1001137271,12254.558567461696,0.0,22.919632806322632,49.61004658509895
2021-11-01,14141.386348246762,5.072656565576644,46.80679714530648,54.95784633048396,93063.82718571147,82930.45605572486,12252.553031923751,0.0,12.179427492104097,10322.631427046426
2021-11-02,14514.815306933582,5.220383518305292,46.57168086047553,54.880175209695054,95274.35530709465,85084.2568425951,12755.28655749642,0.0,12.161117738425482,10869.538212141162
2021-11-03,14606.287730363307,5.202580698754149,46.62974125025361,54.97996142600095,95776.1536705796,85589.46106139784,12791.237878644526,0.0,12.178345773608868,10965.942598540038
2021-11-04,14416.929452180462,5.055110490727978,46.72085113153153,54.96855400087298,94565.76369943458,84438.81772286368,12435.794085392889,0.0,12.180119802587193,10666.817198391844
